Time,Idc_bat_Discharge,Vdc_bat_Discharge
99.5,1057.141533,364.13226
100,1057.11858,364.13126
100.5,1057.057113,364.13037
101,1056.99027,364.12952
101.5,1056.950937,364.12854
102,1056.971433,364.1274
102.5,1056.969963,364.12634
103,1056.967716,364.12524
103.5,1056.896652,364.1244
104,1056.895245,364.12332
104.5,1056.90249,364.12225
105,1056.969522,364.12094
105.5,1056.966897,364.11987
106,1057.021035,364.11865
106.5,1057.056294,364.11743
107,1057.062195,364.11633
107.5,1057.08351,364.11517
108,1057.272195,364.1136
108.5,1057.352877,364.11227
109,1057.624932,364.11044
109.5,1057.862883,364.1087
110,1058.303925,364.1064
110.5,1058.584443,364.10455
111,1058.570667,364.1035
111.5,1058.5827,364.10236
112,1058.5869,364.1013
112.5,1058.559264,364.10028
113,1058.595783,364.0991
113.5,1058.594628,364.098
114,1058.593032,364.09695
114.5,1058.615775,364.09576
115,1058.6793,364.0945
115.5,1058.687742,364.09338
116,1058.683206,364.09232
116.5,1058.718906,364.09113
117,1058.708763,364.0901
117.5,1058.752485,364.08887
118,1058.76708,364.08774
118.5,1058.819643,364.08652
119,1058.86137,364.08533
119.5,1058.89602,364.08414
120,1058.821113,364.08328
120.5,1058.785602,364.0823
121,1058.75385,364.08133
121.5,1058.76939,364.08017
122,1058.79774,364.079
122.5,1058.818803,364.07785
123,1058.741208,364.077
123.5,1058.78808,364.07578
124,1058.797656,364.07468
124.5,1058.818236,364.07352
125,1058.83386,364.0724
125.5,1058.823864,364.07132
126,1058.868678,364.0701
126.5,1058.809458,364.0692
127,1058.81601,364.0681
127.5,1058.86242,364.0669
128,1058.88888,364.06573
128.5,1058.91177,364.06458
129,1058.904168,364.06354
129.5,1058.872773,364.06256
130,1058.864688,364.06152
130.5,1058.8179,364.06058
131,1058.83848,364.05945
131.5,1058.76372,364.0586
132,1058.758113,364.05753
132.5,1058.674428,364.0567
133,1058.63709,364.05573
133.5,1058.677872,364.0545
134,1058.702547,364.05334
134.5,1058.702043,364.05228
135,1058.671467,364.0513
135.5,1058.624952,364.05035
136,1058.548932,364.0495
136.5,1058.55372,364.0484
137,1058.534652,364.04736
137.5,1058.56317,364.04617
138,1058.518104,364.04526
138.5,1058.512665,364.0442
139,1058.53146,364.04306
139.5,1058.572704,364.04184
140,1058.58627,364.0407
140.5,1058.578416,364.03964
141,1058.57451,364.03857
141.5,1058.653533,364.03726
142,1058.707356,364.036
142.5,1058.652504,364.03513
143,1058.603532,364.0342
143.5,1058.554833,364.03326
144,1058.5449,364.03223
144.5,1058.54091,364.03116
145,1058.42058,364.03067
145.5,1058.376543,364.02972
146,1058.357244,364.02872
146.5,1058.350902,364.02768
147,1058.337063,364.02664
147.5,1058.303547,364.02567
148,1058.322972,364.02454
148.5,1058.338995,364.02338
149,1058.379882,364.0222
149.5,1058.39979,364.02106
150,1058.402625,364.02
150.5,1058.385384,364.01895
151,1058.370705,364.01794
151.5,1058.368017,364.01688
152,1058.36073,364.01584
152.5,1058.414427,364.0146
153,1058.434734,364.01346
153.5,1058.378727,364.01257
154,1058.357706,364.01157
154.5,1058.35485,364.0105
155,1058.31054,364.00955
155.5,1058.306487,364.00848
156,1058.313354,364.0074
156.5,1058.278305,364.00644
157,1058.300082,364.00528
157.5,1058.25258,364.00436
158,1058.244264,364.0033
158.5,1058.200248,364.00238
159,1058.233176,364.00122
159.5,1058.33217,363.99982
160,1058.330784,363.99875
160.5,1058.343867,363.99762
