Time,Battery inverter.Idc_bat,Battery inverter.Vdc_bat
107,-1229.9683,363.52512
107.5,-1229.9568,363.52637
108,-1229.9238,363.52774
108.5,-1229.9213,363.52908
109,-1229.9089,363.5302
109.5,-1229.8955,363.53137
110,-1229.8944,363.53256
110.5,-1229.889,363.53357
111,-1229.9268,363.53476
111.5,-1229.8904,363.53564
112,-1229.899,363.5368
112.5,-1229.9066,363.53796
113,-1229.9375,363.5392
113.5,-1229.9237,363.54025
114,-1229.9077,363.5414
114.5,-1229.9008,363.54263
115,-1229.9147,363.5439
115.5,-1229.884,363.54514
116,-1229.8468,363.54608
116.5,-1229.8568,363.54727
117,-1229.8878,363.54846
117.5,-1229.9194,363.54962
118,-1229.961,363.55096
118.5,-1229.9565,363.552
119,-1229.902,363.55304
119.5,-1229.875,363.55414
120,-1229.8452,363.55518
120.5,-1229.8462,363.55634
121,-1229.8148,363.55728
121.5,-1229.8043,363.55844
122,-1229.809,363.55954
122.5,-1229.7723,363.56058
123,-1229.7504,363.5616
123.5,-1229.7512,363.56277
124,-1229.7566,363.5641
124.5,-1229.7593,363.56525
125,-1229.749,363.56625
125.5,-1229.7802,363.56726
126,-1229.7915,363.5684
126.5,-1229.8022,363.56967
127,-1229.7852,363.5705
127.5,-1229.7953,363.57138
128,-1229.8022,363.57236
128.5,-1229.8022,363.5734
129,-1229.7859,363.5746
129.5,-1229.807,363.57584
130,-1229.8246,363.57706
130.5,-1229.8182,363.57812
131,-1229.8451,363.57938
131.5,-1229.8712,363.58063
132,-1229.8922,363.58188
132.5,-1229.9033,363.58307
133,-1229.8829,363.58417
133.5,-1229.8584,363.58502
134,-1229.8202,363.58594
134.5,-1229.819,363.5871
135,-1229.8208,363.58826
135.5,-1229.8125,363.5893
136,-1229.8218,363.5906
136.5,-1229.8508,363.5921
137,-1229.8856,363.5935
137.5,-1229.9062,363.59476
138,-1229.893,363.59573
138.5,-1229.8584,363.59683
139,-1229.8851,363.598
139.5,-1229.8508,363.59888
140,-1229.8468,363.59998
140.5,-1229.8202,363.601
141,-1229.793,363.60193
141.5,-1229.8059,363.60312
142,-1229.8208,363.6045
142.5,-1229.8337,363.6058
143,-1229.8767,363.60733
143.5,-1229.913,363.60873
144,-1229.915,363.61002
144.5,-1229.9089,363.61118
145,-1229.9255,363.61246
145.5,-1229.9513,363.6137
146,-1229.9576,363.6149
146.5,-1229.9784,363.61594
147,-1229.9718,363.61713
147.5,-1229.9574,363.61832
148,-1229.9418,363.6195
148.5,-1229.943,363.62076
149,-1229.9358,363.6218
149.5,-1229.926,363.6228
150,-1229.9274,363.62396
150.5,-1229.9456,363.6252
151,-1229.9434,363.62625
151.5,-1229.9104,363.6277
152,-1229.8995,363.62903
152.5,-1229.9131,363.6304
153,-1229.959,363.63202
153.5,-1229.944,363.6334
154,-1229.9589,363.63458
154.5,-1229.9733,363.63574
155,-1229.9811,363.6369
155.5,-1229.9913,363.63818
156,-1229.9927,363.63937
156.5,-1230.0428,363.64053
157,-1230.0358,363.6417
157.5,-1230.0503,363.6427
158,-1230.0979,363.64392
158.5,-1230.12,363.64532
159,-1230.1063,363.6466
159.5,-1230.0957,363.64783
160,-1230.1008,363.64896
160.5,-1230.0938,363.65018
161,-1230.1046,363.65128
161.5,-1230.1088,363.65244
162,-1230.1149,363.65363
162.5,-1230.112,363.65472
163,-1230.0929,363.65582
163.5,-1230.0903,363.65692
164,-1230.0817,363.6581
164.5,-1230.0658,363.65924
165,-1230.0889,363.66046
165.5,-1230.0897,363.6615
166,-1230.0887,363.66278
166.5,-1230.0677,363.6638
167,-1230.0643,363.6648
167.5,-1230.0815,363.66602
168,-1230.0839,363.66714
168.5,-1230.0774,363.66827
169,-1230.0712,363.66943
169.5,-1230.0704,363.67062
170,-1230.0723,363.67178
170.5,-1230.0454,363.6728
171,-1230.0656,363.674
171.5,-1230.055,363.6751
172,-1230.0233,363.67615
172.5,-1230.0273,363.67715
173,-1230.0123,363.67828
173.5,-1230.0203,363.67938
174,-1230.0118,363.68045
174.5,-1230.02,363.68176
175,-1230.0063,363.6827
175.5,-1229.9844,363.68372
176,-1229.9795,363.68484
176.5,-1229.963,363.68585
177,-1229.9321,363.68686
177.5,-1229.932,363.688
178,-1229.947,363.68906
178.5,-1229.9653,363.69006
179,-1229.9502,363.6911
179.5,-1229.951,363.69223
180,-1229.9551,363.6934
180.5,-1229.9287,363.69415
181,-1229.8893,363.69495
181.5,-1229.8931,363.6959
182,-1229.9078,363.69714
182.5,-1229.9237,363.69836
183,-1229.9419,363.6994
183.5,-1229.9546,363.70068
184,-1229.957,363.70184
184.5,-1230.0248,363.70325
185,-1230.0736,363.70456
185.5,-1230.078,363.70572
186,-1230.0609,363.7068
186.5,-1230.0591,363.70792
187,-1230.0499,363.70892
187.5,-1230.03,363.70987
188,-1230.0175,363.71075
188.5,-1230.0125,363.71185
189,-1229.9862,363.71295
189.5,-1230.0068,363.71417
190,-1230.0068,363.71527
190.5,-1230.0245,363.7165
191,-1229.9972,363.71756
191.5,-1229.9889,363.71872
192,-1229.9648,363.71976
192.5,-1229.9618,363.72083
193,-1229.9884,363.72205
