Time,Battery inverter.Idc_bat,Battery inverter.Vdc_bat
465.5,-1230.7252,364.31516
466,-1230.7498,364.31635
466.5,-1230.7666,364.3175
467,-1230.7567,364.3184
467.5,-1230.8003,364.31937
468,-1230.805,364.32034
468.5,-1230.8,364.3213
469,-1230.7981,364.32227
469.5,-1230.8302,364.32373
470,-1230.8267,364.32513
470.5,-1230.8318,364.32626
471,-1230.8541,364.32718
471.5,-1230.9033,364.32822
472,-1230.9253,364.32916
472.5,-1230.9198,364.33008
473,-1230.9447,364.3312
473.5,-1230.9508,364.33246
474,-1230.9078,364.33353
474.5,-1230.8599,364.3344
475,-1230.8517,364.33554
475.5,-1230.8765,364.33673
476,-1230.9059,364.33768
476.5,-1230.9277,364.33878
477,-1230.93,364.3398
477.5,-1230.9052,364.341
478,-1230.9059,364.34204
478.5,-1230.8975,364.3431
479,-1230.8551,364.344
479.5,-1230.8551,364.3451
480,-1230.8448,364.34613
480.5,-1230.8438,364.34692
481,-1230.8215,364.34778
481.5,-1230.8268,364.3488
482,-1230.8411,364.3498
482.5,-1230.8359,364.35086
483,-1230.8739,364.35196
483.5,-1230.8776,364.353
484,-1230.8701,364.35406
484.5,-1230.8542,364.3557
485,-1230.8458,364.35678
485.5,-1230.8439,364.3578
486,-1230.863,364.3589
486.5,-1230.8636,364.36002
487,-1230.8752,364.36118
487.5,-1230.8851,364.36218
488,-1230.9089,364.36328
488.5,-1230.9105,364.3643
489,-1230.9524,364.36536
489.5,-1230.9547,364.36642
490,-1231.0076,364.36768
490.5,-1231.0148,364.3687
491,-1230.9683,364.36984
491.5,-1230.9884,364.3712
492,-1230.9935,364.37222
492.5,-1230.9359,364.37283
493,-1230.9344,364.3736
493.5,-1230.936,364.3745
494,-1230.9625,364.37546
494.5,-1230.9398,364.37646
495,-1230.936,364.37756
495.5,-1230.9622,364.37875
496,-1230.9612,364.3797
496.5,-1230.9506,364.38043
497,-1230.9155,364.3813
497.5,-1230.888,364.38214
498,-1230.8635,364.38297
498.5,-1230.8611,364.3839
499,-1230.868,364.3849
499.5,-1230.8744,364.38593
500,-1230.8763,364.38696
500.5,-1230.8982,364.38806
501,-1230.9053,364.38898
501.5,-1230.9355,364.3901
502,-1230.9131,364.39072
502.5,-1230.8882,364.39163
503,-1230.8851,364.39264
503.5,-1230.8806,364.3936
504,-1230.8707,364.39462
504.5,-1230.87,364.39584
505,-1230.8407,364.39673
505.5,-1230.8544,364.3978
506,-1230.8633,364.39883
506.5,-1230.8536,364.39975
507,-1230.8531,364.4009
507.5,-1230.8284,364.40186
508,-1230.8252,364.40286
508.5,-1230.8268,364.40387
509,-1230.8076,364.40482
509.5,-1230.7632,364.40573
510,-1230.76,364.40683
510.5,-1230.7426,364.40778
511,-1230.7208,364.40872
511.5,-1230.7444,364.41006
512,-1230.7382,364.41104
512.5,-1230.7346,364.412
513,-1230.7825,364.4131
513.5,-1230.7727,364.4141
514,-1230.7725,364.4151
514.5,-1230.776,364.4161
515,-1230.8082,364.41736
515.5,-1230.8038,364.41827
516,-1230.8339,364.41956
516.5,-1230.8369,364.42072
517,-1230.8295,364.4217
517.5,-1230.8291,364.4228
518,-1230.8274,364.42383
518.5,-1230.8259,364.4248
519,-1230.8502,364.42596
519.5,-1230.896,364.42703
520,-1230.8989,364.42804
520.5,-1230.9008,364.42908
521,-1230.9058,364.42993
521.5,-1230.8813,364.43063
522,-1230.9149,364.4318
522.5,-1230.9424,364.43304
523,-1230.9396,364.4341
523.5,-1230.9333,364.4352
524,-1230.9393,364.43613
524.5,-1230.9758,364.43726
525,-1231.0239,364.43848
525.5,-1231.0378,364.43954
526,-1231.0524,364.44073
526.5,-1231.0652,364.44193
527,-1231.0582,364.443
527.5,-1231.0027,364.44394
528,-1230.9695,364.445
528.5,-1230.9668,364.44598
529,-1230.9446,364.44696
529.5,-1231.0203,364.44833
530,-1231.0319,364.44937
530.5,-1231.0391,364.45053
531,-1231.0402,364.45163
531.5,-1231.0153,364.4528
532,-1231.0106,364.45337
532.5,-1231.0183,364.45447
533,-1231.0209,364.45554
533.5,-1231.0107,364.45642
534,-1231.0015,364.45728
534.5,-1230.9781,364.4582
535,-1230.9407,364.45917
535.5,-1230.9681,364.46027
536,-1231.0181,364.4612
536.5,-1231.0009,364.4621
537,-1231.011,364.46317
537.5,-1231.0245,364.46414
538,-1231.0139,364.4652
538.5,-1231.0149,364.46622
539,-1231.0165,364.46725
539.5,-1231.0182,364.46826
540,-1230.9979,364.4699
540.5,-1231.0067,364.47107
541,-1231.0255,364.47226
541.5,-1231.0425,364.47336
542,-1231.0635,364.47446
542.5,-1231.0713,364.4755
543,-1231.07,364.47647
543.5,-1231.0526,364.47742
544,-1231.0175,364.47855
544.5,-1231.0787,364.47986
545,-1231.0671,364.48083
545.5,-1231.0785,364.48172
546,-1229.8054,364.46567
546.5,-1229.5914,364.46396
547,-1229.604,364.46487
547.5,-1229.6183,364.46582
548,-1229.6346,364.46698
548.5,-1229.6139,364.468
549,-1229.6193,364.4687
549.5,-1229.5979,364.46957
550,-1229.6045,364.4706
550.5,-1229.5939,364.47137
551,-1229.598,364.47244
551.5,-1229.6101,364.47336
552,-1229.6017,364.4743
552.5,-1229.5898,364.47525
553,-1229.5901,364.4765
553.5,-1229.5912,364.47754
554,-1229.605,364.47858
554.5,-1229.611,364.47968
555,-1229.5591,364.48056
555.5,-1229.5093,364.48132
556,-1229.4965,364.48224
556.5,-1229.4911,364.48315
557,-1229.519,364.48425
557.5,-1229.5411,364.4854
558,-1229.5464,364.48654
558.5,-1229.5511,364.48767
559,-1229.5565,364.48874
559.5,-1229.5583,364.48975
560,-1229.55,364.49063
560.5,-1229.5236,364.49158
561,-1229.507,364.49277
561.5,-1229.531,364.4939
562,-1229.5555,364.495
562.5,-1229.5842,364.49603
563,-1229.603,364.49713
563.5,-1229.5723,364.49792
564,-1229.5574,364.49884
564.5,-1229.5316,364.49973
565,-1229.5323,364.5007
565.5,-1229.5343,364.5017
566,-1229.5417,364.50275
566.5,-1229.5424,364.50375
567,-1229.5298,364.50458
567.5,-1229.5228,364.50546
568,-1229.5243,364.50647
568.5,-1229.5146,364.50754
569,-1229.473,364.50854
569.5,-1229.4861,364.50955
570,-1229.4911,364.51056
570.5,-1229.4928,364.51157
571,-1229.535,364.51294
571.5,-1229.551,364.51385
572,-1229.5681,364.5149
572.5,-1229.5702,364.5159
573,-1229.5997,364.517
573.5,-1229.6053,364.51782
574,-1229.6072,364.5188
574.5,-1229.6267,364.51974
575,-1229.6213,364.52087
575.5,-1229.6271,364.52197
576,-1229.6915,364.52313
576.5,-1229.6858,364.524
577,-1229.6711,364.52502
577.5,-1229.6879,364.5261
578,-1229.69,364.52713
578.5,-1229.6855,364.52805
579,-1229.6877,364.52908
579.5,-1229.681,364.5299
580,-1229.6595,364.53067
580.5,-1229.6842,364.53174
581,-1229.6895,364.53287
581.5,-1229.6768,364.53394
582,-1229.6956,364.5353
582.5,-1229.6929,364.53638
583,-1229.6842,364.53735
583.5,-1229.6555,364.5383
584,-1229.6685,364.53928
584.5,-1229.6658,364.5404
585,-1229.6792,364.54166
585.5,-1229.6881,364.54315
586,-1229.7245,364.5444
586.5,-1229.7678,364.54535
587,-1229.7819,364.54648
587.5,-1229.7892,364.54752
588,-1229.7969,364.54855
588.5,-1229.8165,364.54984
589,-1229.8192,364.55087
589.5,-1229.8032,364.55197
590,-1229.7952,364.55304
590.5,-1229.791,364.55402
591,-1229.8176,364.5552
591.5,-1229.8428,364.55618
592,-1229.817,364.55698
592.5,-1229.813,364.55795
593,-1229.7803,364.55875
593.5,-1229.7734,364.55972
594,-1229.7556,364.56046
594.5,-1229.75,364.56128
595,-1229.7625,364.5623
595.5,-1229.7513,364.5639
596,-1229.7653,364.56503
596.5,-1229.7693,364.56586
597,-1229.7941,364.56662
597.5,-1229.7806,364.56738
598,-1229.748,364.56824
598.5,-1229.7253,364.56915
599,-1229.6885,364.5701
599.5,-1229.6873,364.5711
600,-1229.6917,364.5721
600.5,-1229.6931,364.57318
601,-1229.7194,364.5742
601.5,-1229.7396,364.57538
602,-1229.7426,364.5764
602.5,-1229.7373,364.57715
603,-1229.7617,364.57797
603.5,-1229.7643,364.57895
604,-1229.786,364.58005
604.5,-1229.7573,364.58115
605,-1229.7512,364.5821
605.5,-1229.742,364.58282
606,-1229.7299,364.58365
606.5,-1229.7379,364.5846
607,-1229.7435,364.58557
607.5,-1229.7213,364.5865
608,-1229.6947,364.58737
608.5,-1229.6677,364.5883
609,-1229.668,364.58926
609.5,-1229.6918,364.59055
610,-1229.6799,364.59155
610.5,-1229.6925,364.5926
611,-1229.6757,364.59354
611.5,-1229.6727,364.59464
612,-1229.6626,364.59558
612.5,-1229.6592,364.59653
613,-1229.6603,364.5975
613.5,-1229.664,364.59854
614,-1229.6726,364.59964
614.5,-1229.6696,364.6007
615,-1229.67,364.6018
615.5,-1229.6716,364.6028
616,-1229.6847,364.60397
616.5,-1229.667,364.60492
617,-1229.6664,364.6059
617.5,-1229.6732,364.60706
618,-1229.686,364.60794
618.5,-1229.6964,364.60867
619,-1229.6808,364.6095
619.5,-1229.6595,364.6102
620,-1229.6578,364.61118
620.5,-1229.6422,364.6121
621,-1229.6388,364.61328
621.5,-1229.6221,364.61438
622,-1229.6467,364.61563
622.5,-1229.671,364.61682
623,-1229.6448,364.61777
623.5,-1229.6344,364.61865
624,-1229.6277,364.61954
624.5,-1229.6193,364.6204
625,-1229.6201,364.6214
625.5,-1229.6217,364.6224
626,-1229.6477,364.62326
626.5,-1229.6525,364.6241
627,-1229.6996,364.62512
627.5,-1229.7286,364.62625
628,-1229.7416,364.6274
628.5,-1229.761,364.62848
629,-1229.7935,364.62958
629.5,-1229.7802,364.63046
630,-1229.7625,364.63144
630.5,-1229.7593,364.63232
631,-1229.7869,364.6335
631.5,-1229.8088,364.63467
632,-1229.8132,364.63562
632.5,-1229.8181,364.63647
633,-1229.8197,364.63745
633.5,-1229.818,364.63864
634,-1229.838,364.6397
634.5,-1229.8602,364.6409
635,-1229.8564,364.64197
635.5,-1229.8549,364.64313
636,-1229.8119,364.644
636.5,-1229.7891,364.64496
637,-1229.7681,364.64594
637.5,-1229.7775,364.64716
638,-1229.7806,364.6482
638.5,-1229.7521,364.64932
639,-1229.7863,364.65048
639.5,-1229.8079,364.6517
640,-1229.8228,364.65274
640.5,-1229.8779,364.65384
641,-1229.883,364.65485
641.5,-1229.8849,364.65582
642,-1229.8995,364.65677
642.5,-1229.9025,364.65793
643,-1229.9087,364.65906
643.5,-1229.9242,364.66022
644,-1229.9375,364.6614
644.5,-1229.9371,364.6623
645,-1229.9224,364.6631
645.5,-1229.902,364.6639
646,-1229.889,364.66483
646.5,-1229.8624,364.66565
647,-1229.865,364.6667
647.5,-1229.84,364.66748
648,-1229.8561,364.66855
648.5,-1229.8502,364.66965
649,-1229.8818,364.67062
649.5,-1229.9393,364.6717
650,-1229.9344,364.67255
650.5,-1229.9258,364.6734
651,-1229.9297,364.6744
651.5,-1229.9203,364.67584
652,-1229.8774,364.6768
652.5,-1229.8662,364.67764
653,-1229.8516,364.67834
653.5,-1229.8646,364.67935
654,-1229.8472,364.68027
654.5,-1229.8201,364.68124
655,-1229.8064,364.68228
655.5,-1229.8604,364.68338
656,-1229.8842,364.68417
656.5,-1229.9117,364.68533
657,-1229.914,364.68637
657.5,-1229.9237,364.68723
658,-1229.9199,364.6882
658.5,-1229.8851,364.68903
659,-1229.8707,364.6899
659.5,-1229.8651,364.6908
660,-1229.8524,364.6918
660.5,-1229.843,364.6927
661,-1229.8234,364.6935
661.5,-1229.804,364.69437
662,-1229.84,364.69537
662.5,-1229.8445,364.69638
663,-1229.8527,364.6974
663.5,-1229.8497,364.69827
664,-1229.8184,364.6992
664.5,-1229.8207,364.70023
665,-1229.7925,364.7012
665.5,-1229.808,364.70233
666,-1229.8143,364.7035
666.5,-1229.813,364.7045
667,-1229.8347,364.70563
667.5,-1229.8706,364.7068
668,-1229.843,364.70758
668.5,-1229.7961,364.7085
669,-1229.7916,364.70953
669.5,-1229.7842,364.71054
670,-1229.778,364.71152
670.5,-1229.7689,364.71255
671,-1229.7765,364.7135
671.5,-1229.8024,364.71448
672,-1229.8058,364.71548
672.5,-1229.784,364.7159
673,-1229.743,364.71667
673.5,-1229.7471,364.71777
674,-1229.7648,364.71875
674.5,-1229.763,364.71994
675,-1229.7806,364.721
675.5,-1229.7827,364.722
676,-1229.8108,364.72318
676.5,-1229.8076,364.72427
677,-1229.7657,364.72513
677.5,-1229.7704,364.72623
678,-1229.7601,364.72723
678.5,-1229.7517,364.72812
679,-1229.7609,364.72894
679.5,-1229.7496,364.7297
680,-1229.7617,364.73056
680.5,-1229.7931,364.73145
681,-1229.7971,364.73242
681.5,-1229.8422,364.73355
682,-1229.8612,364.73453
682.5,-1229.845,364.73538
683,-1229.8557,364.73642
683.5,-1229.8541,364.73752
684,-1229.8783,364.7387
684.5,-1229.8817,364.7398
685,-1229.877,364.7406
685.5,-1229.9111,364.74176
686,-1229.914,364.74277
686.5,-1229.9441,364.74384
687,-1229.9622,364.74487
687.5,-1229.9761,364.74603
688,-1229.9819,364.74722
688.5,-1229.9553,364.7483
689,-1229.9246,364.74933
689.5,-1229.9486,364.7505
690,-1229.9457,364.7516
690.5,-1229.9543,364.7527
691,-1229.9352,364.75378
691.5,-1229.9097,364.75464
692,-1229.919,364.756
692.5,-1229.9178,364.75702
693,-1229.9554,364.75806
693.5,-1229.9993,364.75928
694,-1229.9779,364.76013
694.5,-1229.9758,364.76102
695,-1229.9639,364.7622
695.5,-1229.9668,364.7631
696,-1229.9603,364.76395
696.5,-1229.9619,364.76492
697,-1229.9662,364.7659
697.5,-1230.0144,364.767
698,-1230.0298,364.7681
698.5,-1229.9944,364.7688
699,-1230.0039,364.76974
699.5,-1229.997,364.77072
700,-1229.9872,364.77158
700.5,-1229.9681,364.77246
701,-1229.9598,364.77344
701.5,-1229.9554,364.77448
702,-1229.9775,364.77554
702.5,-1230.0084,364.7764
703,-1230.0023,364.77744
703.5,-1230.0028,364.77823
704,-1230.0797,364.77948
704.5,-1230.036,364.78033
705,-1230.0083,364.78125
705.5,-1230.0187,364.7822
706,-1229.996,364.78305
706.5,-1230.027,364.78406
707,-1230.0212,364.7856
707.5,-1230.0225,364.7866
708,-1230.0265,364.78772
708.5,-1230.0244,364.78867
709,-1230.0066,364.7895
709.5,-1229.9908,364.79022
710,-1229.9928,364.79114
710.5,-1230.0042,364.79208
711,-1230.0515,364.79303
711.5,-1230.072,364.79416
712,-1230.0634,364.795
712.5,-1230.045,364.79587
713,-1230.0085,364.7968
713.5,-1229.9667,364.7975
714,-1229.9305,364.79825
714.5,-1229.9508,364.7993
715,-1229.9548,364.80023
715.5,-1229.9425,364.80124
716,-1229.9788,364.8023
716.5,-1229.9812,364.8033
717,-1229.9747,364.80417
717.5,-1229.9677,364.805
718,-1229.9685,364.80597
718.5,-1229.9701,364.80695
719,-1229.9717,364.80792
719.5,-1229.9467,364.8088
720,-1229.9368,364.80984
720.5,-1229.9661,364.81107
721,-1229.9688,364.81204
721.5,-1229.9801,364.8131
722,-1229.9836,364.81415
722.5,-1229.9688,364.81525
723,-1229.9089,364.81613
723.5,-1229.9056,364.8171
724,-1229.9071,364.81808
724.5,-1229.9087,364.81906
725,-1229.8887,364.81973
725.5,-1229.896,364.82062
726,-1229.9075,364.82156
726.5,-1229.911,364.82245
727,-1229.894,364.82327
727.5,-1229.8635,364.82416
728,-1229.863,364.82513
728.5,-1229.8702,364.8262
729,-1229.881,364.82748
729.5,-1229.925,364.82867
730,-1229.9082,364.8296
730.5,-1229.8901,364.83035
731,-1229.8704,364.83127
731.5,-1229.8861,364.83234
732,-1229.9169,364.83316
732.5,-1229.9076,364.8342
733,-1229.9241,364.83514
733.5,-1229.9004,364.83588
734,-1229.9213,364.83682
734.5,-1229.9607,364.83777
735,-1229.9667,364.83868
735.5,-1229.941,364.83975
736,-1229.935,364.8405
736.5,-1229.9148,364.84137
737,-1229.9353,364.84244
737.5,-1229.9205,364.84317
738,-1229.9246,364.84415
738.5,-1229.992,364.84552
739,-1229.9999,364.84665
739.5,-1230.0127,364.8479
740,-1230.0469,364.84915
740.5,-1230.058,364.85022
741,-1230.0494,364.85126
741.5,-1230.0205,364.85214
742,-1230.0469,364.85336
742.5,-1230.0365,364.85443
743,-1230.0564,364.85568
743.5,-1230.0778,364.85675
744,-1230.0817,364.8578
744.5,-1230.0852,364.85873
745,-1230.0807,364.8603
745.5,-1230.0846,364.86136
746,-1230.0692,364.86227
746.5,-1230.1066,364.86343
747,-1230.1095,364.86444
747.5,-1230.1051,364.86545
748,-1230.1119,364.86636
748.5,-1230.1255,364.86728
749,-1230.1111,364.8681
749.5,-1230.0876,364.869
750,-1230.0839,364.87015
750.5,-1230.1003,364.87106
751,-1230.0844,364.87186
751.5,-1230.0477,364.87244
752,-1230.0328,364.87347
752.5,-1230.0494,364.87466
753,-1230.0315,364.87543
753.5,-1230.0465,364.87634
754,-1230.056,364.87726
754.5,-1230.0768,364.8783
755,-1230.1246,364.87933
755.5,-1230.1411,364.88025
756,-1230.1399,364.8812
756.5,-1230.1434,364.88217
757,-1230.1241,364.8831
757.5,-1230.0778,364.88394
758,-1230.1057,364.885
758.5,-1230.1063,364.8858
759,-1230.1204,364.8869
759.5,-1230.1212,364.88788
760,-1230.1329,364.8889
760.5,-1230.1473,364.8899
761,-1230.1636,364.89102
761.5,-1230.1614,364.89203
762,-1230.1775,364.89304
762.5,-1230.1534,364.89453
763,-1230.1547,364.89542
763.5,-1230.1484,364.8962
764,-1230.1769,364.89728
764.5,-1230.1794,364.89825
765,-1230.2004,364.8991
765.5,-1230.1964,364.90005
766,-1230.1643,364.90063
766.5,-1230.1273,364.90143
767,-1230.1252,364.90237
767.5,-1230.1354,364.90338
768,-1230.1011,364.9041
768.5,-1230.0975,364.90503
769,-1230.1056,364.90594
769.5,-1230.0961,364.907
770,-1230.0927,364.908
770.5,-1230.0911,364.9089
771,-1230.0775,364.90982
771.5,-1230.0631,364.91068
772,-1230.0822,364.9116
772.5,-1230.091,364.9125
773,-1230.126,364.9136
773.5,-1230.1486,364.91473
774,-1230.1545,364.91577
774.5,-1230.163,364.91684
775,-1230.1304,364.9177
775.5,-1230.0768,364.91852
776,-1230.0347,364.91943
776.5,-1230.019,364.92035
777,-1230.0032,364.92126
777.5,-1230.0204,364.92224
778,-1230.006,364.92297
778.5,-1230.0177,364.92407
779,-1230.0328,364.925
779.5,-1230.0222,364.92603
780,-1230.0544,364.92703
780.5,-1230.0488,364.92804
781,-1230.0499,364.92902
781.5,-1230.0596,364.9301
782,-1230.0087,364.93082
782.5,-1230.0098,364.93173
783,-1230.0352,364.9329
783.5,-1230.0137,364.93372
784,-1229.9846,364.93436
784.5,-1230.0052,364.93536
785,-1230.018,364.93622
785.5,-1230.0063,364.93723
786,-1230.0106,364.93817
786.5,-1230.0122,364.93915
787,-1230.0535,364.94025
787.5,-1230.0677,364.94107
788,-1230.0848,364.9422
788.5,-1230.0663,364.943
789,-1230.0754,364.9439
789.5,-1230.0826,364.94476
790,-1230.0463,364.94556
790.5,-1230.0387,364.9464
791,-1230.0287,364.94724
791.5,-1230.0504,364.94824
792,-1230.0995,364.94946
792.5,-1230.1118,364.95047
793,-1230.1288,364.95187
793.5,-1230.1484,364.9531
794,-1230.1044,364.95413
794.5,-1230.1001,364.95508
795,-1230.1045,364.95605
795.5,-1230.0886,364.95715
796,-1230.1309,364.9585
796.5,-1230.1201,364.95972
797,-1230.1554,364.96085
797.5,-1230.2023,364.962
798,-1230.2015,364.9631
798.5,-1230.2073,364.9644
799,-1230.2251,364.96536
799.5,-1230.263,364.96652
800,-1230.2637,364.9676
800.5,-1230.2496,364.96863
801,-1230.2288,364.96957
801.5,-1230.229,364.97046
802,-1230.2069,364.9713
802.5,-1230.2307,364.97235
803,-1230.2649,364.97336
803.5,-1230.2498,364.97403
804,-1230.2198,364.97476
804.5,-1230.1602,364.97534
805,-1230.1383,364.9763
805.5,-1230.1202,364.97717
806,-1230.1278,364.97833
806.5,-1230.1296,364.97946
807,-1230.141,364.98062
807.5,-1230.152,364.98157
808,-1230.183,364.9825
808.5,-1230.202,364.9833
809,-1230.2123,364.98413
809.5,-1230.2108,364.98502
810,-1230.2109,364.98596
810.5,-1230.2227,364.9869
811,-1230.2266,364.98785
811.5,-1230.2366,364.98874
812,-1230.25,364.98975
812.5,-1230.2852,364.99084
813,-1230.2906,364.9917
813.5,-1230.2773,364.99268
814,-1230.2677,364.99362
814.5,-1230.2576,364.99475
815,-1230.2695,364.99588
815.5,-1230.2717,364.99686
816,-1230.2701,364.99777
816.5,-1230.2886,364.99872
817,-1230.2905,364.9995
817.5,-1230.305,365.00037
818,-1230.3229,365.00198
818.5,-1230.3062,365.00305
819,-1230.284,365.0041
819.5,-1230.3022,365.00485
820,-1230.3234,365.0058
820.5,-1230.3121,365.00662
821,-1230.3047,365.00742
821.5,-1230.3251,365.00845
822,-1230.3042,365.00937
822.5,-1230.264,365.01
823,-1230.2399,365.01086
823.5,-1230.2407,365.01184
824,-1230.2401,365.0128
824.5,-1230.2294,365.01358
825,-1230.2268,365.01447
825.5,-1230.2205,365.01538
826,-1230.2408,365.01633
826.5,-1230.2574,365.0174
827,-1230.2593,365.0186
827.5,-1230.281,365.0195
828,-1230.2885,365.02045
828.5,-1230.2786,365.02136
829,-1230.2587,365.02234
829.5,-1230.2363,365.02316
830,-1230.201,365.02402
830.5,-1230.1708,365.02487
831,-1230.1077,365.02545
831.5,-1230.1061,365.0264
832,-1230.1077,365.02737
832.5,-1230.1149,365.02835
833,-1230.1525,365.02945
833.5,-1230.1511,365.03046
834,-1230.1658,365.03137
834.5,-1230.1876,365.03244
835,-1230.2028,365.03357
835.5,-1230.205,365.03455
836,-1230.2227,365.0357
836.5,-1230.1829,365.03638
837,-1230.1844,365.0372
837.5,-1230.1578,365.03784
838,-1230.1676,365.03867
838.5,-1230.1437,365.0395
839,-1230.1278,365.04047
839.5,-1230.1401,365.0415
840,-1230.1724,365.04257
840.5,-1230.1909,365.04337
841,-1230.1985,365.04428
841.5,-1230.167,365.0452
842,-1230.16,365.04614
842.5,-1230.1676,365.04718
843,-1230.1415,365.0478
843.5,-1230.1584,365.0487
844,-1230.1528,365.04956
844.5,-1230.1757,365.0507
845,-1230.2004,365.05173
845.5,-1230.2076,365.0527
846,-1230.2437,365.0539
846.5,-1230.2213,365.055
847,-1230.2206,365.056
847.5,-1230.2233,365.05695
848,-1230.2483,365.05823
848.5,-1230.2299,365.05933
849,-1230.2164,365.06036
849.5,-1230.2374,365.0614
850,-1230.2332,365.0626
850.5,-1230.2524,365.06372
851,-1230.2444,365.0649
851.5,-1230.2418,365.066
852,-1230.2701,365.06726
852.5,-1230.319,365.0685
853,-1230.3348,365.06973
853.5,-1230.3701,365.07083
854,-1230.3625,365.07184
854.5,-1230.3732,365.07275
855,-1230.3568,365.07358
855.5,-1230.3639,365.0745
856,-1230.382,365.0755
856.5,-1230.357,365.07626
857,-1230.3511,365.0769
857.5,-1230.3137,365.07773
858,-1230.3003,365.07852
858.5,-1230.2902,365.0793
859,-1230.281,365.08014
859.5,-1230.2477,365.08105
860,-1230.2363,365.08237
860.5,-1230.2505,365.0833
861,-1230.2867,365.08447
861.5,-1230.3136,365.0855
862,-1230.3154,365.08646
862.5,-1230.31,365.0873
863,-1230.2797,365.0882
863.5,-1230.2831,365.08914
864,-1230.291,365.09006
864.5,-1230.3064,365.0909
865,-1230.3102,365.0917
865.5,-1230.3468,365.09277
866,-1230.3717,365.09384
866.5,-1230.411,365.09494
867,-1230.4054,365.09573
867.5,-1230.4138,365.0966
868,-1230.4131,365.0977
868.5,-1230.4148,365.09866
869,-1230.4164,365.09964
869.5,-1230.3726,365.10034
870,-1230.3727,365.10126
870.5,-1230.3772,365.10233
871,-1230.3635,365.1031
871.5,-1230.3635,365.10403
872,-1230.3477,365.1051
872.5,-1230.411,365.10623
873,-1230.4479,365.10718
873.5,-1230.457,365.1086
874,-1230.4379,365.10968
874.5,-1230.4615,365.11075
875,-1230.4502,365.1115
875.5,-1230.4567,365.1125
876,-1230.4554,365.11343
876.5,-1230.4452,365.11426
877,-1230.43,365.115
877.5,-1230.3956,365.11578
878,-1230.3748,365.11667
878.5,-1230.3884,365.11758
879,-1230.4069,365.11856
879.5,-1230.3993,365.11935
880,-1230.4116,365.12045
880.5,-1230.4135,365.12143
881,-1230.4055,365.12225
881.5,-1230.3868,365.12326
882,-1230.3634,365.12415
882.5,-1230.3318,365.12506
883,-1230.325,365.12576
883.5,-1230.3087,365.1264
884,-1230.3129,365.12735
884.5,-1230.3145,365.12833
885,-1230.2734,365.12912
885.5,-1230.2681,365.13025
886,-1230.2665,365.13123
886.5,-1230.2444,365.13208
887,-1230.2485,365.1331
887.5,-1230.2653,365.1341
888,-1230.272,365.135
888.5,-1230.2955,365.13596
889,-1230.3116,365.13693
889.5,-1230.3392,365.13803
890,-1230.36,365.13898
890.5,-1230.3495,365.13977
891,-1230.2913,365.13995
891.5,-1230.2787,365.14087
892,-1230.2825,365.14185
892.5,-1230.3176,365.1429
893,-1230.3143,365.14386
893.5,-1230.3088,365.14502
894,-1230.3212,365.14594
894.5,-1230.3173,365.14685
895,-1230.2992,365.14774
895.5,-1230.287,365.1487
896,-1230.2784,365.14935
896.5,-1230.276,365.15024
897,-1230.2645,365.15103
897.5,-1230.2703,365.15222
898,-1230.2904,365.15295
898.5,-1230.2914,365.15387
899,-1230.3097,365.1552
899.5,-1230.3073,365.15625
900,-1230.3094,365.1572
900.5,-1230.311,365.15817
901,-1230.3219,365.15924
901.5,-1230.3181,365.16037
902,-1230.3678,365.16165
902.5,-1230.3651,365.1627
903,-1230.3569,365.16376
903.5,-1230.3951,365.16492
904,-1230.3934,365.1662
904.5,-1230.3896,365.1672
905,-1230.3684,365.16827
905.5,-1230.3657,365.16928
906,-1230.389,365.17047
906.5,-1230.406,365.17157
907,-1230.4326,365.17282
907.5,-1230.4607,365.17377
908,-1230.4408,365.1747
908.5,-1230.4403,365.17578
909,-1230.4644,365.17682
909.5,-1230.4647,365.17767
910,-1230.4241,365.17822
910.5,-1230.417,365.17914
911,-1230.396,365.17978
911.5,-1230.4183,365.18057
912,-1230.4205,365.1815
912.5,-1230.4102,365.1825
913,-1230.4198,365.1834
913.5,-1230.4392,365.18427
914,-1230.439,365.18558
914.5,-1230.4546,365.18655
915,-1230.4283,365.18735
915.5,-1230.3934,365.18823
916,-1230.3887,365.1893
916.5,-1230.395,365.19037
917,-1230.3967,365.19135
917.5,-1230.4132,365.19226
918,-1230.4092,365.19315
918.5,-1230.4266,365.19415
919,-1230.4547,365.19522
919.5,-1230.4661,365.19617
920,-1230.477,365.19708
920.5,-1230.5072,365.19803
921,-1230.5073,365.19916
921.5,-1230.5126,365.20013
922,-1230.4984,365.20096
922.5,-1230.5094,365.20184
923,-1230.5096,365.20267
923.5,-1230.5142,365.2036
924,-1230.5319,365.20435
924.5,-1230.5074,365.20505
925,-1230.4806,365.2059
925.5,-1230.4736,365.20682
926,-1230.4636,365.20792
926.5,-1230.4884,365.20895
927,-1230.5302,365.21005
927.5,-1230.5782,365.21118
928,-1230.5883,365.21216
928.5,-1230.5381,365.21298
929,-1230.546,365.21442
929.5,-1230.551,365.21536
930,-1230.5607,365.21634
930.5,-1230.5807,365.21735
931,-1230.5914,365.21823
931.5,-1230.6013,365.2192
932,-1230.6106,365.22018
932.5,-1230.6047,365.22122
933,-1230.6005,365.2221
933.5,-1230.5853,365.22287
934,-1230.5576,365.2237
934.5,-1230.5474,365.2247
935,-1230.5485,365.22565
935.5,-1230.5135,365.22626
