,THD % (AC_Current) at 50% Load,Load %,DC_Power,THD % (AC_Voltage),THD % (AC_Current),Time
0,0.0,0.0,0.0,0.013381794956643335,0.013381794956643357,2020-09-24 02:43:09.829335
1,0.0,0.006243377778939845,31.216888894699228,0.013381794956643335,0.013381794956643357,2020-09-24 02:43:09.829435
2,0.0,0.01284359306650003,64.21796533250014,0.013381794956643335,0.013381794956643357,2020-09-24 02:43:09.829535
3,0.0,0.019056325970418182,95.28162985209092,0.013381794956643335,0.013381794956643357,2020-09-24 02:43:09.829635
4,0.0,0.02618056628086933,130.90283140434664,0.013381794956643335,0.013381794956643357,2020-09-24 02:43:09.829735
5,0.0,0.03040948769081237,152.04743845406188,0.013381794956643335,0.013381794956643357,2020-09-24 02:43:09.829835
6,0.0,0.039567992896789805,197.83996448394905,0.013381794956643335,0.013381794956643357,2020-09-24 02:43:09.829935
7,0.0,0.04500476067896791,225.02380339483955,0.013381794956643335,0.013381794956643357,2020-09-24 02:43:09.830035
8,0.0,0.04827162885957257,241.35814429786285,0.013381794956643335,0.013381794956643357,2020-09-24 02:43:09.830135
9,0.0,0.0599033356698735,299.5166783493675,0.013381794956643335,0.013381794956643357,2020-09-24 02:43:09.830235
10,0.0,0.06410511368869289,320.52556844346446,0.013381794956643335,0.013381794956643357,2020-09-24 02:43:09.830335
11,0.0,0.06851126765732071,342.55633828660353,0.013381794956643335,0.013381794956643357,2020-09-24 02:43:09.830435
12,0.0,0.0732339856921186,366.16992846059304,0.013381794956643335,0.013381794956643357,2020-09-24 02:43:09.830535
13,0.0,0.08044590663834777,402.2295331917388,0.013381794956643335,0.013381794956643357,2020-09-24 02:43:09.830635
14,0.0,0.0871556292731237,435.7781463656185,0.013381794956643335,0.013381794956643357,2020-09-24 02:43:09.830735
15,0.0,0.09341135061976948,467.05675309884737,0.013381794956643335,0.013381794956643357,2020-09-24 02:43:09.830835
16,0.0,0.09606381204019013,480.3190602009507,0.013381794956643335,0.013381794956643357,2020-09-24 02:43:09.830935
17,0.0,0.11029418730544047,551.4709365272023,0.013381794956643335,0.013381794956643357,2020-09-24 02:43:09.831035
18,0.0,0.11979082860282232,598.9541430141115,0.013381794956643335,0.013381794956643357,2020-09-24 02:43:09.831135
19,0.0,0.12002691622416324,600.1345811208162,0.013381794956643335,0.013381794956643357,2020-09-24 02:43:09.831235
20,0.0,0.1266430039121269,633.2150195606346,0.013381794956643335,0.013381794956643357,2020-09-24 02:43:09.831335
21,0.0,0.13514463784617856,675.7231892308928,0.013381794956643335,0.013381794956643357,2020-09-24 02:43:09.831435
22,0.0,0.13819256952456613,690.9628476228306,0.013381794956643335,0.013381794956643357,2020-09-24 02:43:09.831535
23,0.0,0.15011701856508922,750.5850928254462,0.013381794956643335,0.013381794956643357,2020-09-24 02:43:09.831635
24,0.0,0.15624718497485962,781.235924874298,0.013381794956643335,0.013381794956643357,2020-09-24 02:43:09.831735
25,0.0,0.1661298349385799,830.6491746928996,0.013381794956643335,0.013381794956643357,2020-09-24 02:43:09.831835
26,0.0,0.16723407812278976,836.1703906139488,0.013381794956643335,0.013381794956643357,2020-09-24 02:43:09.831935
27,0.0,0.17718093249238762,885.9046624619382,0.013381794956643335,0.013381794956643357,2020-09-24 02:43:09.832035
28,0.0,0.17209796249617074,860.4898124808536,0.013381794956643335,0.013381794956643357,2020-09-24 02:43:09.832135
29,0.0,0.19064097941190838,953.204897059542,0.013381794956643335,0.013381794956643357,2020-09-24 02:43:09.832235
30,0.0,0.19226994881942225,961.3497440971113,0.013381794956643335,0.013381794956643357,2020-09-24 02:43:09.832335
31,0.0,0.2021791272784469,1010.8956363922345,0.013381794956643335,0.013381794956643357,2020-09-24 02:43:09.832435
32,0.0,0.198410824155752,992.05412077876,0.013381794956643335,0.013381794956643357,2020-09-24 02:43:09.832535
33,0.0,0.21363172962456894,1068.1586481228446,0.013381794956643335,0.013381794956643357,2020-09-24 02:43:09.832635
34,0.0,0.2130229603263241,1065.1148016316206,0.013381794956643335,0.013381794956643357,2020-09-24 02:43:09.832735
35,0.0,0.21128893511716645,1056.444675585832,0.013381794956643335,0.013381794956643357,2020-09-24 02:43:09.832835
36,0.0,0.22456330002644098,1122.816500132205,0.013381794956643335,0.013381794956643357,2020-09-24 02:43:09.832935
37,0.0,0.23748381040756286,1187.4190520378143,0.013381794956643335,0.013381794956643357,2020-09-24 02:43:09.833035
38,0.0,0.24983557205947754,1249.1778602973877,0.013381794956643335,0.013381794956643357,2020-09-24 02:43:09.833135
39,0.0,0.24757523620861946,1237.8761810430974,0.013381794956643335,0.013381794956643357,2020-09-24 02:43:09.833235
40,0.0,0.24509859432955017,1225.492971647751,0.013381794956643335,0.013381794956643357,2020-09-24 02:43:09.833335
41,0.0,0.26259230571568104,1312.961528578405,0.013381794956643335,0.013381794956643357,2020-09-24 02:43:09.833435
42,0.0,0.25459527966858214,1272.976398342911,0.013381794956643335,0.013381794956643357,2020-09-24 02:43:09.833535
43,0.0,0.2602488385050171,1301.2441925250855,0.013381794956643335,0.013381794956643357,2020-09-24 02:43:09.833635
44,0.0,0.2874973895122309,1437.4869475611545,0.013381794956643335,0.013381794956643357,2020-09-24 02:43:09.833735
45,0.0,0.27657540684713416,1382.8770342356706,0.013381794956643335,0.013381794956643357,2020-09-24 02:43:09.833835
46,0.0,0.29361308377314593,1468.0654188657295,0.013381794956643335,0.013381794956643357,2020-09-24 02:43:09.833935
47,0.0,0.31316130327261354,1565.8065163630679,0.013381794956643335,0.013381794956643357,2020-09-24 02:43:09.834035
